movie_id,cntry,year
tt0398808,USA,2007
tt0398830,USA,2004
tt0398842,USA,2006
tt0398872,USA,2004
tt0398913,USA,2006
tt0398963,USA,2004
tt0398971,USA,2005
tt0398982,USA,2005
tt0399048,USA,2005
tt0399095,USA,2007
tt0399146,USA,2005
tt0399201,USA,2005
tt0399295,USA,2005
tt0399327,USA,2005
tt0399692,USA,2004
tt0399738,USA,2004
tt0399862,USA,2005
tt0399901,USA,2004
tt0400234,USA,2004
tt0400400,USA,2004
tt0400446,USA,2003
tt0400497,USA,2005
tt0400525,USA,2005
tt0400717,USA,2006
tt0401233,USA,2004
tt0401244,USA,2005
tt0401248,USA,2004
tt0401383,USA,2007
tt0401385,USA,2005
tt0401420,USA,2005
tt0401445,USA,2006
tt0401462,USA,2005
tt0401488,USA,2004
tt0401591,USA,2005
tt0401593,USA,2004
tt0401711,USA,2006
tt0401729,USA,2012
tt0401792,USA,2005
tt0401808,USA,2005
tt0401815,USA,2005
tt0401855,USA,2006
tt0401997,USA,2007
tt0402022,USA,2005
tt0402057,USA,2005
tt0402141,USA,2004
tt0402230,USA,2005
tt0402249,USA,2005
tt0402417,USA,2004
tt0402595,USA,2004
tt0402743,USA,2006
tt0402894,USA,2005
tt0402901,USA,2005
tt0403016,USA,2005
tt0403217,USA,2005
tt0403455,USA,2005
tt0403508,USA,2005
tt0403537,USA,2005
tt0403702,USA,2009
tt0403703,USA,2004
tt0403935,USA,2014
tt0404030,USA,2005
tt0404032,USA,2005
tt0404163,USA,2006
tt0404203,USA,2006
tt0404390,USA,2006
tt0404552,USA,2004
tt0404802,USA,2005
tt0405094,USA,2006
tt0405159,USA,2004
tt0405296,USA,2006
tt0405325,USA,2005
tt0405336,USA,2006
tt0405357,USA,2005
tt0405393,USA,2008
tt0405422,USA,2005
tt0405469,USA,2006
tt0405508,USA,2006
tt0405676,USA,2006
tt0405861,USA,2005
tt0405866,USA,2004
tt0406038,USA,2005
tt0406158,USA,2005
tt0406214,USA,2004
tt0406216,USA,2004
tt0406375,USA,2005
tt0406650,USA,2005
tt0406759,USA,2008
tt0406816,USA,2006
tt0406977,USA,2004
tt0407121,USA,2005
tt0407236,USA,2005
tt0407265,USA,2005
tt0407304,USA,2005
tt0407342,USA,2004
tt0407536,USA,2004
tt0407551,USA,2004
tt0407621,USA,2004
tt0407732,USA,2005
tt0407814,USA,2006
tt0407887,USA,2006
tt0408236,USA,2007
tt0408306,USA,2005
tt0408345,USA,2006
tt0408524,USA,2005
tt0408664,USA,2004
tt0408777,USA,2004
tt0408790,USA,2005
tt0408839,USA,2007
tt0408961,USA,2005
tt0408985,USA,2006
tt0409034,USA,2005
tt0409182,USA,2006
tt0409184,USA,2005
tt0409301,USA,2006
tt0409345,USA,2008
tt0409379,USA,2013
tt0409459,USA,2009
tt0409673,USA,2004
tt0409838,USA,2005
tt0409847,USA,2011
tt0409947,USA,2004
tt0410097,USA,2005
tt0410297,USA,2006
tt0410377,USA,2008
tt0410400,USA,2005
tt0410403,USA,2006
tt0410410,USA,2005
tt0410454,USA,2004
tt0410764,USA,2005
tt0411061,USA,2007
tt0411195,USA,2005
tt0411270,USA,2005
tt0411323,USA,2008
tt0411475,USA,2008
tt0411477,USA,2008
tt0411702,USA,2004
tt0411705,USA,2004
tt0411883,USA,2004
tt0412019,USA,2005
tt0412042,USA,2004
tt0412080,USA,2005
tt0412308,USA,2005
tt0412536,USA,2008
tt0412637,USA,2006
tt0412808,USA,2006
tt0412922,USA,2005
tt0413015,USA,2005
tt0413099,USA,2007
tt0413267,USA,2007
tt0413300,USA,2007
tt0413466,USA,2005
tt0413895,USA,2006
tt0414055,USA,2007
tt0414344,USA,2005
tt0414387,USA,2005
tt0414426,USA,2008
tt0414513,USA,2005
tt0414713,USA,2005
tt0414834,USA,2004
tt0414852,USA,2004
tt0414853,USA,2006
tt0414951,USA,2005
tt0414982,USA,2006
tt0414993,USA,2006
tt0415234,USA,2005
